,input
1532,"As a data manager, I want to plan the anonymization of data, so that we protect the privacy of the people participating in the research as good as possible and still ensure reusability of data.
"
1533,"As a CONNECT adopter, I need to understand how to configure the system to prevent logging PHI information in the server logs	
"
1534,"As a repository manager, I want to view available versions of an object and restore a version from the staff interface.
"
1535,"As a Zooniverse admin, I want to automatically detect the time in a Worm Watch Lab video where the worm lays an egg.	
"
1536,"As an Agency user, I want FABS deployed into production, so I can submit my Financial Assistance data.	
"
1537,"As a Zooniverse admin, I want to know what Zoonibot should say to a volunteer.	
"
1538,"As a faculty member, I want to easily collect my publications -- both those within the repository and without -- into a single online access point, so that I can raise the profile of my work.
"
1539,"As a site administrator, I want to understand how other similar organizations are handling content, so that I can make informed decisions about what appears to work well and what doesn't.
"
1540,"As a user, I want to be able to receive tempting rewards, so that I have a reason to use the website.
"
1541,"As an OlderPerson, I want to use ALFRED to see who is standing at my door and open the door. 
"
1542,"As an API User, I want to be able to normalise measures by GDP, so I work with datasets in reference to their contextual constraints.	
"
1543,"As a site visitor, I want to subscribe to an RSS feed of upcoming courses and events, so that I am up to day without having to visit the site.	
"
1544,"As a DB/IR administrator, I want to see list of subscribers for specified report in order research missing report complaints.
"
1545,"As a trainer, I want to list my upcoming classes in my profile and include a link to a detailed page about each, so that prospective attendees can find my courses.
"
1546,"As an agency user, I want to have all derived data elements derived properly.	
"
1547,"As a CONNECT Adopter, there is a requirement for support of Multiple Assigning Authority to support the capability of responding and saving multiple unique patient identifiers of a patient from a community.	
"
1548,"As a Developer, I want to be able to customise the Brand Name and Icon, and Primary Color of all frontend Javascript apps, So that I can customise the branding for my own needs.
"
1549,"As a site visitor, I want to be able to read some of your articles, so that I can learn without first joining the site.	
"
1550,"As a user, I want to search for and download human-readable experimental protocols.
"
1551,"As a depositor, I want to have guarantees about data integrity, so that I can use my data in the future and I can fulfil funder requirements for archival.
"
1552,"As a depositor, I want to deposit and maintain datasets through Pure, so that I have a single onestop shop for managing my research outputs.
"
1553,"As a CONNECT adopter, I want CONNECT to use latest Hibernate version, in order to be on the latest released version.	
"
1554,"As a collection curator, I want to have a summary of all remote replication status at collection level on my dashboard.
"
1555,"As a researcher, I want to understand the copyright status of the image, so that I know if I can use it.
"
1556,"As a camp administrator, I want to be able to delete campers from the database, so that I can keep my pages free of clutter.
"
1557,"As a superuser, I want to update the recycling center information, so that I can provide the latest information about the recycling center.
"
1558,"As an archivist, I want to rotate images, so that I can orient them correctly.
"
1559,"As a Federal Partner, I want database-less adapters, in order to validation my installation.	
"
1560,"As a repository manager, I want to indicate all subjects that are pertinent to a collection, object, or object component. 
"
1561,"As an OlderPerson, I want to use ALFRED to control the TV and radio. 
"
1562,"As a Developer, I want to get a Data Package into Node, so that I can start using the data for doing analysis and visualizations."
1563,"As a faculty member, I want to access a collection within the repository, so that I can obtain research materials.
"
1564,"As the Custodial Agent, I want clearly separated modules where each module allows for contributions and independent testing as opposed to testing CONNECT as a whole
"
1565,"As an OlderPerson, I want to use ALFRED to learn about all the social activities that are organized in my neighborhood. 
"
1566,"As a user, I want to be able to access the site and do all the other stuffs on all of my electronic devices.	
"
1567,"As a user, I want to view all locations of recycling centers on a map, so that I can check which routes to take to drop off waste.	
"
1568,"As a Cornell faculty member, I want to easily assign a CC license to the files I are depositing, so that users know how the materials can be used.
"
1569,"As a CONNECT adopter, I want to instruct the gateway which spec version/endpoint to target for RD service so that I have greater flexibility when exchanging with my trading partners.	
"
1570,"As a site administrator, I want to create an Other Course or Event that is not charged a listing fee, so that the Scrum Alliance doesn't charge itself for Scrum Gatherings that it puts on.	
"
1571,"As a user, I want the DUNS validations to accept records whose ActionDates are before the current registration date in SAM, but after the initial registration date.
"
1572,"As a corporatesponsor, I want to make my logo randomly appear on the home page, so that others see the company's support of Scrum.
"
1573,"As a CONNECT developer, I want to research PDMP services for querying patient opioid information	
"
1574,"As a DAMS manager, I want to know when copyright for an object or object component is likely to expire per jurisdictional copyright statute. 
"
1575,"As a user, I want to specify as part of dataset configuration whether it is explorable.
"
1576,"As a DB/IR administrator, I want to upload new version of report/dataset while retaining previous versions for patron use.
"
1577,"As a dataset developer, I want to deploy a dataset type independent from any app and allow apps to create and use dataset instances of that type.
"
1578,"As a Publisher, I want to sign up for a given pricing plan, so that that I am entitled to what it allows.
"
1579,"As a recyclingfacility representative, I want to be able to update my information and the type of material I accept, so that I can avoid any miscommunication with users.
"
1580,"As a repository manager, I want to represent the physical and/or logical structure of an object. 
"
1581,"As an Applicant, I want to Complete Building Development Project, so that I can receive any posted bond and/or obtain occupancy.
"
1582,"As a data reuser, I want to get a persistent URL for a dataset, so that I can get back to the data in future.
"
1583,"As an Agency user, I want FABS deployed into production, so I can submit my Financial Assistance data.
"
1584,"As a user, I want to link together experimental runs to build an experiment.
"
1585,"As a CONNECT adopter, I would like consolidated CONNECT documentation so I can find quickly find CONNECT answers	
"
1586,"As an Owner, I want to design a schedule from the UI SME, so that I know the potential timeline of the UI improvements wanted.
"
1587,"As a Publisher, I want to version my Data Package and keep multiple versions around including older versions, so that that I do not break consumer systems when I change my datapackage.
"
1588,"As an archivist, I want to apply a license or rights statement, so that I know what I can do with a file.
"
1589,"As an Inspection Staff member, I want to Create an Inspection, so that I can schedule and assign the inspection.	
"
1590,"As a user researcher, I want to begin drafting a research plan, so that I can begin recruiting participants.
"
1591,"As lab administrator, I want to have increased access to the system to support regular users. 
"
1592,"As an Owner, I want to create a user testing summary from the UI SME, so that I can know what UI improvements we will follow through on.	
"
1593,"As a FABS user, I want to have my validations run in a reasonable amount of time.	
"
1594,"As a CONNECT developer I want to set up a UDDI implementation, to increase test coverage in interop testing.	
"
1595,"As a developer, I want to present my app to as many people as Possible. 
"
1596,"As a Platform Administrator, I want to have a view on all datasets published by all users, So that I can perform management actions on any dataset.
"
1597,"As an OlderPerson, I want to use ALFRED as much as possible with speech interaction.
"
1598,"As a Data Publishing User, I want to be able to edit a dataset I have published, So that I can correct or enhance existing data.
"
1599,"As a company, I want to join the Scrum Alliance by paying a corporate membership fee, so that I can show the company's support of Scrum.	
"
1600,"As a Developer I want to quickly access Broker application data, so that I can investigate issues."
1601,"As a supervisor, I want to view what my researchers were doing on a given date or period of time.
"
1602,"As a depositor, I want to manage multiple versions of the same dataset, so that changes to the dataset are transparent and do not compromise research integrity.
"
1603,"As a researcher, I want to have services to support the long term curation of data, so that I can be sure that data will not get 'lost' with the passage of time.
"
1604,"As a user, I want to be able to give my email ID, so that I can receive notifications for new events as they are posted.
"
1605,"As a FABS user, I want to make sure the historical data includes all necessary columns, so that the information in the database is correct.	
"
1606,"As a CONNECT adopter, I want a ""Tuning guide"" or ""Performance Tip Sheet"" to help anticipate, understand and avoid performance issues where possible	
"
1607,"As a data manager, I want to document all rights necessary for managing the data, so that I can curate and preserve the data.
"
1608,"As a researcher, I want to receive a notification if something I request in the reading room or for duplication is already digitized, so that I don't have to put in that request.
"
1609,"As a Publisher, I would like an integration with Open Refine, so that I can output cleaned Data Packages.	
"
1610,"As a user, I want to make predicated links between files.
"
1611,"As a library staff member, I want to be able to assign an item to more than one collection.
"
1612,"As a Research Information manager, I want to include records for externally held data complete, so that the university's record of data holdings is complete.
"
1613,"As a camp administrator, I want to be able to keep track of which camper submitted which forms, so that legal issues are avoided.
"
1614,"As an Owner, I want to reset the environment to only take Staging MAX permissions, so that I can ensure that the FABS testers no longer have access.	
"
1615,"As a site member, I want to describe myself on my own page in a semi-structured way, so that others can learn about me.
"
1616,"As a developer, I want to be notified as soon as possible when the state of any of my Apps changes. 
"
1617,"As a researcher, I want to generate structured citation data, so that so I can cite a file in a publication.
"
1618,"As a FABS user, I want to submission errors to accurately represent FABS errors, so that I know why my submission didn't work.
"
1619,"As a CONNECT adopter sending Direct messages I want to have the ability to request delivery notification messages from Receiving STAs, so that I am informed of a successful or failed delivery.	
"
1620,"As an OlderPerson, I want to have an ALFRED device that informs me about a low battery when leaving the house. 
"
1621,"As an OlderPerson, I want to have the ALFRED shirt to look good. 
"
1622,"As a UI designer, I want to schedule user testing, so that I can give the testers advanced notice to ensure buy-in.	
"
1623,"As a parent, I want to be able to message my child's counselors, so that I can voice my concerns or check on my child's progress.
"
1624,"As a DeveloperDataWrangler, I want to store my Data Package in GitHub and have it automatically stored into CKAN, so that I get a data API and my dataset is listed in a relevant catalog.	
"
1625,"As a MedicalCaregiver, I want to have ALFRED to offer training for specific muscle groups. 
"
1626,"As a participant, I want to see who gave what estimates during the current round, so that I know this when we’re discussing the estimates.
"
1627,"As a system administrator, I want to have a managed backup protocol for the system.
"
1628,"As a researcher, I want to request analog versions of digital objects, so that I can view them in the reading room.
"
1629,"As a CONNECT developer, the build logs should be free of errors and warnings	
"
1630,"As an System Administrator, I want to declare that a user is has the Repository Manager role for a given Repository.
"
1631,"As a site visitor, I want to be able to get back to the home page quickly and easily, so that I don't get lost navigating.	
"
1632,"As a CONNECT implementer, I want HealtheWay manual checklists to be reviewed with the CONNECT codebase to ensure there are no specification discrepancies and find out specification issues prior to release	
"
1633,"As an agency user, I want the FABS validation rules to accept zero and blank for loan records.
"
1634,"As a hydrator user, I want to explore the datasets created by my pipeline.
"
1635,"As a researcher, I want to have the ability to search for files by file type and format.
"
1636,"As an estimator, I want to join a game by entering my name on the page I received the URL for, so that I can participate.
"
1637,"As a CONNECT developer, I want to research CommonWell specifications so CONNECT can support exchange on the CommonWell network	
"
1638,"As a system administrator, I want to run a script that installs the Neurohub node onto a virgin Ubuntu operating system.
"
1639,"As a camp worker, I would be able to submit a completion report for the tasks which was assigned to me.
"
1640,"As an OlderPerson, I want to use ALFRED to help me navigate despite my mild cognitive impairments. 
"
1641,"As a site editor, I want to post information in a trainers-only section, so that only trainers see it.
"
1642,"As an archivist, I want to automatically create access copies of files, so that I don't have to do this manually.
"
1643,"As a Publisher, I would like a tool to check data availability persistence after publication. 
"
1644,"As a collection curator, I want to restrict access to my collection or items to Duke IP addresses.
"
1645,"As a content editor, I want to be able to add videos from Brightcove.
"
1646,"As a user, I want a mechanism for electronically sharing papers and notes with other researchers, so that we can collaborate effectively.
"
1647,"As a ResearcherPublisher, I want to understand the ways in which my data is invalid, so that I can know how to fix it.	
"
1648,"As an agency user, I want the FABS validation rules to accept zero and blank for non-loan records.
"
1649,"As a user, I want to either keep a logbook entry private or share it with individuals rather than groups.
"
1650,"As a Zooniverse admin, I want to know whether I should educate a volunteer with text, an image, or a video.	
"
1651,"As a depositor, I want to place data under an embargo, so that my right of first use is protected, and I can fulfil my confidentiality responsibilities.
"
1652,"As an admin, I want to prefilter the content using search on high­level asset information such as metadata and tags either recognized by the system of provided by the user.	
"
1653,"As a CONNECT developer I want an automated performance test suite which can be integrated into CI.	
"
1654,"As an employee, I want to access the route planning system during work, so that I can be guided through the neighbourhood.	
"
1655,"As a CONNECT Testing, I want to understand how to test Direct from a regression perspective.	
"
1656,"As a Cornell faculty member, I want to upload data to the repository and associate it with a publication, so that I receive attribution for my data as well as my publications.
"
1657,"As a FABS user, I want to link the SAMPLE FILE on the ""What you want to submit"" dialog to point to the correct file, so that I have an accurate reference for my agency submissions.	
"
1658,"As a MedicalCaregiver, I want to have ALFRED to remind people to exercise regularly. 
"
1659,"As an NSF employee, I want to know where the initial in-person meeting will be, so that I can plan on attending.
"
1660,"As a Zooniverse admin, I want to perform automatic preclassification of plankton species in Plankton Portal images.	
"
1661,"As a DeveloperWrangler, I want to use a command line tool that allows met to validate data, so that I can feel trust in the validity and usefulness of the data quickly and in the context of my command line workflow. 
"
1662,"As an Applicant, I want to Request a Plan Review Meeting, so that I can meet with the Plan Review Staff regarding the plan review.	
"
1663,"As a CONNECT adopter e.g. CMS-OFM and SSA, I want CONNECT to be implemented using Java 1.6 on WAS 7 so that I could use CONNECT in my WAS 7 environment	
"
1664,"As a repository manager, I want to know all the collections for which I have curatorial responsibility.
"
1665,"As a Zoning Staff member, I want to Process the Requests for Zoning Information, so that I can capture my response to the request in the system and also send a communication from the system to the Applicant.
"
1666,"As an owner, I want to make a user an owner, so that they have full control.
"
1667,"As a trainer, I want to edit my training node myself, so that the training coordinators don't have to and links to slides.
"
1668,"As a site member, I want to mark my profile as private in which case only my name will appear, so that no one can learn things about me I don't want shared.
"
1669,"As a company accountant, I want to view all available activity fees online, so that I can easily create a bill statement.	
"
1670,"As an app developer, I want to perform custom administrative operations on dataset instances from my app and the CLI and REST or the UI.
"
1671,"As a Developer , I want to be able to log better, so that I can troubleshoot issues with particular submissions and functions.	
"
1672,"As a user, I want to be able to view a map display of the special waste drop off sites around my area.	
"
1673,"As a Data Publishing User, I want to be able to import data in JSON, So that I do not have to convert data formats in order to use the data packager.
"
1674,"As a Custodial Agent, I want to ensure CONNECT Plus adheres to the NwHIN Specifications. CONNECT Plus needs to implement the July 2011 version of the Messaging Platform specification.	
"
1675,"As an OlderPerson, I want to have ALFRED to set limits in the games duration as I get bored easily. 
"
1676,"As a CONNECT developer, I would like to script WL to automatically deploy and test via CI so that the validation tests are run at checkin and errors are caught earlier in the development process	
"
1677,"As a Broker user, I want to submit records for individual recipients without receiving a DUNS error.	
"
1678,"As an API User, I want to be able to get bordering regions|cities when I query a region|city, So that I can provider wider visual context for mapping visualisations.	
"
1679,"As a moderator, I want to import stories from a spreadsheet, so that I don't have to copy and paste each individual story.
"
1680,"As a team member, I want to have a prototype strategy, so that I understand how we will gain understandings from tests that will drive recommendations.
"
1681,"As an OlderPerson, I want to be able to see whether I already have taken my pills, so that I can avoid an overdose. 
"
1682,"As an OlderPerson, I want to be able to zoom into visual content. 
"
1683,"As a depositor, I want to deposit arbitrarily large files, so that I am not limited in what files I can and cannot deposit.
"
1684,"As a potential research participant, I want to learn about the research and leave my contact information.
"
1685,"As a researcher, I want to see the sections on costing by other researchers in my department, so that I can see if we could share data manager posts.
"
1686,"As a researcher, I want to be able to view a finding aid for a particular collection/Resource.
"
1687,"As a CONNECT developer, I would like the interoperability dashboard collector program updated to provide test diagnostic information.	
"
1688,"As a data manager, I want to know which formats are used, so that I know what technology or background information might be necessary to use the data.
"
1689,"As a Consumer, I want to be able to get the data for a data package even if the original data has been moved or removed, so that that I can still use is and my app or analysis keeps working.
"
1690,"As a CONNECT user, I want the Direct feature to work out of the box on binary installations, so I can set up Direct more easily.	
"
1691,"As an agency user, I want to ensure that deleted FSRS records are not included in submissions.	
"
1692,"As a staff member, I want to denote an application with a Final Action status. So that I can finish it.	
"
1693,"As a Developer, I want to get a Data Package into Julia in seconds, so that I can start using the data in doing analysis and visualizations.	
"
1694,"As a CONNECT team member, I want to demonstrate CONNECT FHIR Fusion adapters to agency teams	
"
1695,"As a user researcher, I want to continue scheduling interviews for hypothesis #1, so that I can be prepared to test our first prototype.
"
1696,"As a depositor, I want to apply licenses to datasets, so that my IP rights are protected appropriately.
"
1697,"As a moderator, I want to browse through previous games, so that I can find the previous game I’m looking for.
"
1698,"As a CONNECT adopter, I want security risk assessment performed for CONNECT 4, so that CONNECT 4 adopters can use the report to help them with their C&A needs	
"
1699,"As a developer, I want to easily create and to maintain my apps within the market place. 
"
1700,"As a CONNECT adopter sending Direct messages, I want to receive a failure notification when the Receiving STA's SMTP infrastructure rejects the message, so that I am informed of the failure and can take necessary next steps.	
"
1701,"As an archivemanager, I want to make sure that detailed metadata are associated to data so that it will be understandable by future users.
"
1702,"As a site visitor, I want to have articles that interest me and are easy to get to, so that I come to the site for my agile news and learning.	
"
1703,"As a user, I want the publish button in FABS to deactivate after I click it while the derivations are happening, so that I cannot click it multiple times for the same submission.
"
1704,"As an OlderPerson, I want to have an ALFRED device that only reacts to me.
"
1705,"As a CONNECT Direct developer, I want two test HISPs so I can test my Direct implementation	
"
1706,"As an Applicant, I want to Pay Fee, so that I can satisfy outstanding charge associated with the service requested or received from the County.
"
1707,"As a DAMS manager, I want to track all events scheduled for recording in the DAMS. 
"
1708,"As an Archivist, I want to import Accessions data in CSV.
"
1709,"As a site visitor, I want to see new content when I come to the site, so that I come back more often.
"
1710,"As a CONNECT developer I want to update CONNECT Direct code to support new event logging events	
"
1711,"As a summit coordinator, I want to list basic information about my summit, so that I can inform potential attendees on why they should attend my summit.
"
1712,"As a researcher, I want to have at least some meta data to be automatically inserted when new data is added to the system.
"
1713,"As a CONNECT adopter, I want CONNECT to meet performance expectations for Exchange services when Direct is deployed and used, so that my Exchange partners are not impacted if I want to include Direct	
"
1714,"As a faculty member, I want to upload my scholarly work to the repository, so that I can reach a non-academic audience, expand my influence within my academic community, and use it for teaching.
"
1715,"As a Staff member, I want to Assign a Hearing Date, so that I can present the application to the appropriate governing body within the timelines dictated by the relevant County rules and procedures.	
"
1716,"As a Research Information manager, I want to integrate the archive with CRIS, so that I can analyse impact of research data publication I can link funding to all of the outputs it produces.
"
1717,"As a user, I want to know for an object or its component parts the place of publication, the publisher, etc.
"
1718,"As an Agency user, I want to receive a more helpful file-level error when I upload a file with the wrong extension.	
"
1719,"As a site admin, I want to be emailed whenever a job is submitted, so that I am aware of it and can decide if I want to post it.	
"
1720,"As a site administrator, I want to read practicing and training applications and approve or reject them, so that only applicants who qualify can become CSPs or CSTs.	
"
1721,"As a Developer, I want to be able to customise the Brand Name and Icon, and Primary Color of all frontend Javascript apps, So that I can customise the branding for my own needs.	
"
1722,"As an Inspection Staff member, I want to Create an Inspection, so that I can schedule and assign the inspection.
"
1723,"As a research support officer, I want to ensure compliance to the fundersâ€™ rules, so that I can ensure all costs will be accepted.
"
1724,"As a researcher, I want to be able to search across photo collection images, so that I can prepare presentations.
"
1725,"As a Broker user, I want to have updated error codes that accurately reflect the logic and provide enough information, so that I can fix my submission.
"
1726,"As a CONNECT Adopter I need a way to increase gateway performance for PD & QD requests by removing current limitation for serial request handling for same patient to multiple communities. (User Story: U0006 & GW442)	
"
1727,"As an Application Administrator , I want to be able to configure the help center URL and topic mappings.
"
1728,"As a ResearcherPublisher, I want to specify the funding that contributed to the creation of a given dataset, so that funding agencies can identify the funding, source for a given dataset.	
"
1729,"As a CONNECT adopter sending Direct messages, I want to receive failure notifications when no requested delivery notifications are received from the receiving STA in a defined time, so that I can monitor messages that could have failed.	
"
1730,"As an ethics manager, I want to be informed about the data, so that I can check for sensitivity of data.
"
1731,"As a Plan Review Staff member, I want to Assign Plans for Review, so that I can ensure plans have been assigned to the appropriate Plan Reviewer.
"
1732,"As a researcher, I want to access digitized archival materials without mediation, so that I can decide what, I want to look at.
"
1733,"As a moderator, I want to view a transcript of a game, so that I can see the stories and estimates.
"
1734,"As a Developer, I want to get a Data Package into C++ in seconds, so that I can start using the data in doing analysis and visualizations.	
"
1735,"As a user, I want to be able to access the site and do all the other stuffs on all of my electronic devices.
"
1736,"As an asset manager, I want to be assured that threats to copies in one repository are not automatically incurred by the redundant copies.
"
1737,"As a Broker user, I want to have updated error codes that accurately reflect the logic and provide enough information, so that I can fix my submission.	
"
1738,"As an app developer, I want to tolerate existing datasets if their properties are different but compatible when creating a dataset as part of app deployment. 
"
1739,"As a attendee, I want to get detailed directions to the summit venue, so that I can get to the summit easily on the day of the event.
"
1740,"As a member of the CONNECT community, I want JIRA and Confluence to have more stable and higher uptime, so that I can access CONNECT's wiki and issue trackers.	
"
1741,"As a CONNECT development team member, I want to improve build/install documentation so that it can be easily maintained and navigated.	
"
1742,"As a CONNECT user operating a higher volume installation, I need CONNECT to provide a generic feed to my monitoring system to assist with the notification of gateway performance degradation (User Story: EST004)	1
"
1743,"As an asset manager, I want to be assured that the assets can be taken out of the repository, and that the assets taken out are the same as those that are put in.
"
1744,"As a parent, I want to be able to create an account, so that I can sign up my kids for camp online.
"
1745,"As a user, I want to install CONNECT using Glassfish 3.1.2 on a 64bit OS	
"
1746,"As an OlderPerson, I want to help me to control my body weight. 
"
1747,"As an OlderPerson, I want to receive specific tips how to reduce my health impairments without medication. 
"
1748,"As a researcher, I want to have the ability to form links between objects, for example File A is an analysis of File B, so that data can be searched by type and by association.
"
1749,"As a Custodial Agent, I Need to Remove Legacy Code for Audit Log Query So That I Can Better Maintain the Code Base	
"
1750,"As a funder, I want to know how secure data is, so that I can ensure legal compliance.
"
1751,"As a user,  I want to have the ability to change the sharing and ownership of multiple files.
"
1752,"As an Extension Administrator, I want to have easy, well documented and supported workflows that can be easily passed on to others when she/others retire, so that continuity can be maintained.
"
1753,"As a CONNECT adopter, I want the newly discovered Fortify issues to be fixed so that we the product is secure	
"
1754,"As a CONNECT Adopter I have a requirement to remove the reliance on the existence of the environment variable NHINC_PROPERTIES_DIR and to be able to find the CONNECT configuration files at run time using an instance-specific system variable.	
"
1755,"As a DAMS manager, I want to know when application of a library policy to an object or object component is scheduled to expire. 
"
1756,"As a Publisher, I want to data to be validated when I publish it, so that that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.
"
1757,"As a user, I want to use the tags that I use are part of a controlled vocabulary.
"
1758,"As a Data Publishing User, I want to have a functioning Python Client, So that I can add data to the datastore in bulk from the command line or my own programs.	
"
1759,"As a Staff member, I want to Capture a Hearing Decision, so that I can enforce the system.	
"
1760,"As a user, I want to ensure that dataset reconfiguration fails if the corresponding update of the explore table fails.
"
1761,"As a Developer, I want a Mongo integration, so that I can integrate data-packaged data with pipelines that use Mongo. 
"
1762,"As a developer, I want to use bootstrap in the process of developing, so that I can easily design my website.	
"
1763,"As a release engineer, I want to configure nightly builds that automatically perform a Neurohub installation on a virgin operating system, execute tests and report back results, without requiring any manual input/interaction.
"
1764,"As a repository manager, I want to indicate if other rights pertain to the component, apart from the object as a whole. 
"
1765,"As a sponsor, I want to sponsor a summit that matches my brand, so that I can get exposure to potential customers and otherwise tout my Drupal credentials.
"
1766,"As a site member, I want to subscribe to an RSS feed of jobs available, so that I can read them without visiting the site.
"
1767,"As an OlderPerson, I want to have video conversation with others. 
"
1768,"As a CONNECT adopter, I want a sourceless distribution option to enable to me to configure how connect is packaged and deployed,	
"
1769,"As a site editor, I want to have a prominent area on the home page where I can put special announcements not necessarily news or articles, so that I can give them additional exposure.	
"
1770,"As a Staff member, I want to Manage Hearing Calendars, so that I can track hearing-related activities and due dates.	
"
1771,"As a user, I want to limit my search results to one or more log book sections from one or more log books.
"
1772,"As an Agency user, I want to better understand my file-level errors.
"
1773,"As an OlderPerson, I want to have ALFRED ask spontaneous questions but it would be better to programme it during certain times of the day. 
"
1774,"As an assistant archivist, I want to easily access interdepartmental forms.
"
1775,"As an author, I want to be able to indent / outdent content.
"
1776,"As a developer, I want to use a configuration that is not prepackaged within a built version of application.
"
1777,"As a site visitor, I want to read current news on the home page, so that I stay current on agile news.
"
1778,"As a user, I want to receive content recommendations from similar profiles.
"
1779,"As a Staff member, I want to Manage Ordinances, so that I can maintain accurate ordinance information in the System.	
"
1780,"As a trainer, I want to show my rating up on my profile page, so that site visitors can choose wisely.
"
1781,"As a camp administrator, I want to be able to see only events for a specific group/groups on the event calendar, so that I can easily read the data on the calendar without too much clutter.
"
1782,"As an archivist, I want to view physical locations for non-archival material, so that I can provide research services to donors.
"
1783,"As a team member, I want to have a high-level sense of the project timeline, so that I can plan my work.
"
1784,"As a CONNECT adopter, I need the audit database to contain audit fields as specified by the specs so that ATNA compliant audit messages be generated by the adopter for all messages.	
"
1785,"As a CONNECT community member, I need Direct installation instructions to be updated to detail configuration steps, so that I can easily install and configure Direct in my environment	
"
1786,"As a stakeholder, I want to have files adequately described, so that I can successfully render them in my contemporary operating environment.
"
1787,"As a patron, I want to select/deselect reports/datasets to be emailed, possibly many at one time, when new versions are available.
"
1788,"As an OlderPerson, I want to decide who has access to my vital data. 
"
1789,"As a collection curator, I want to create deposit forms specific to the collection.
"
1790,"As a Research Information manager, I want to have datasets linked to metadata about projects, so that I can report on projects depositing datasets in relation to funder requirements.
"
1791,"As a Publisher, I want to import my data package into the registry, so that my data has a permanent online home to access. 
"
1792,"As an OlderPerson, I want to activate the vocal interaction mode of ALFRED by pushing a specific button. 
"
1793,"As a site member, I want to have full access to all articles, so that there is a benefit to being a member.
"
1794,"As a Developer, I want a DAT integration, so that I can integrate data-packaged data with pipelines that use DAT. 
"
1795,"As an Applicant, I want to Complete Building Development Project, so that I can receive any posted bond and/or obtain occupancy.	
"
1796,"As a user, I want to generate and validate D Files from FABS and FPDS data.	
"
1797,"As an administrator, I want to assign RAC staff to different user groups, so that I can control read/write access.
"
1798,"As a CONNECT implementer supporting a large number of trading partners, I need support for increased throughput of CONNECT with the existing architecture, targeting increased numbers of PD, QD, RD, AD and DS related to national program roll outs.	
"
1799,"As an Archivist, I want to import only Agent and Subject information from MARCXML records.
"
1800,"As a Researcher, I want to get a Data Package into LibreOffice/OpenOffice in seconds, so that I can start using the data for doing analysis and visualizations. 
"
1801,"As a CONNECT Adopter I need CONNECT to be database independent and support different databases such as Oracle.	
"
1802,"As a CONNECT implementer, I shall have the ability to get more comprehensive performance logging and metric data (counts and duration) using improved logging in CONNECT	
"
1803,"As a user, I want to link my email account to my profile, so that I can get a temporary password in case I forget my own one.	
"
1804,"As an Inspector, I want to Conduct Inspections, so that I can validate Customer compliance with code and regulations and provide results of the inspection to the Customer.
"
1805,"As a site visitor, I want to see a list of all upcoming Events, so that I can decide if I want to attend any.	
"
1806,"As a anonymoususer, I want to see a list of all the summits that include when they are, so that I can determine which summit I want to attend.
"
1807,"As a Custodial Agent, I want to ensure CONNECT Plus adheres to the NwHIN Specifications. CONNECT Plus needs to implement the July 2011 version of the Administrative Distribution specification.	
"
1808,"As an adopter using CAQH CORE X12 DS service, I want transaction events to be logged, so that I can easily monitor transactions count as well as transaction time intervals to help with performance metrics reports by time and number for the X12 DS service	
"
1809,"As a Developer, I want to get a Data Package into Julia in seconds, so that I can start using the data in doing analysis and visualizations. 
"
1810,"As a Consumer, I want to view a data package online, so that I can get a sense of whether this is the dataset I want.
"
1811,"As a site administrator, I want to edit any site member profile, so that I can correct problems for members.	
"
1812,"AS a CONNECT developer, I want all assertions upgrades to be completely tested so the code can be included in the next release	
"
1813,"As a Data Consuming User, I want to have consistent use of colour on map visualisations, So that I can better understand the visual logic of the map view.
"
1814,"As an OlderPerson, I want to use ALFRED to navigate to an event or concert and help me when I am lost. 
"
1815,"As an NSF employee, I want to know how brand guidelines are developed and maintained, so that I can incorporate them throughout the project.
"
1816,"As an admin, I want to onboard recycling centers on the platform, so that I can increase information accuracy.	
"
1817,"As a SocialCaregiver, I want ALFRED to remind me of the things I need to bring to the person I care for. 
"
1818,"As an agency user, I want to submit my data elements surrounded by quotation marks, so that Excel won't strip off leading and trailing zeroes.	
"
1819,"As a plugin developer, I want to use a custom dataset type that was deployed independently or as part of an app inside the plugin. 
"
1820,"As an agency user, I want to submit my data elements surrounded by quotation marks, so that Excel won't strip off leading and trailing zeroes.
"
1821,"As an NSF employee, I want to have high-level strategy recommendations to implement in conjunction with the new CMS.
"
1822,"As a CONNECT implementer, I want to address all security issues identified as part of Fortify scans and other security tools to be fixed so that the code is secure and compliant with DoD requirements for code quality	
"
1823,"As an archivist, I want to use archival content on the RAC website, so that I can integrate our collections into our web presence.
"
1824,"As a Data Publishing User, I want to be able to Hide a dataset that I have already added as Public, So that I can fix my mistakes or have a dataset primarily for my own use.
"
1825,"As a library staff member, I want to be able to tell the researchers I'm helping with DMPs that Cornell has a repository system I can use for archiving and sharing results of their research, so that I can easily meet the needs of funder DMP requirements.
"
1826,"As an agency user, I want to leave off the last 4 digits of the ZIP without an error, so that I can complete my submissions.	
"
1827,"As a Zooniverse admin, I want to preclassify the Galaxy Zoo images using simple low­level image features.	
"
1828,"As a Staff member, I want to Develop a Staff Report, so that I can publish and distribute the report according to business rules.	
"
1829,"As a Developer, I want to use data package as a node lib in my project, so that that I can depend on it using my normal dependency framework.
"
1830,"As a library staff member, I want to deliver streaming media from within the repository, so that I can deliver such content in the manner expected and ensure continued access to said content.
"
